productkey,productalternatekey,productsubcategorykey,englishproductname,daystomanufacture,modelname,productsubcategoryalternatekey,englishproductsubcategoryname,productcategorykey,englishproductcategoryname
251,FR-R92R-56,14,"HL Road Frame - Red, 56",1,HL Road Frame,14,Road Frames,2,Components
252,FR-R92R-56,14,"HL Road Frame - Red, 56",1,HL Road Frame,14,Road Frames,2,Components
253,FR-R38B-58,14,"LL Road Frame - Black, 58",1,LL Road Frame,14,Road Frames,2,Components
417,FR-R72Y-38,14,"ML Road Frame-W - Yellow, 38",2,ML Road Frame-W,14,Road Frames,2,Components
418,FR-R72Y-38,14,"ML Road Frame-W - Yellow, 38",2,ML Road Frame-W,14,Road Frames,2,Components
254,FR-R38B-58,14,"LL Road Frame - Black, 58",1,LL Road Frame,14,Road Frames,2,Components
255,FR-R38B-58,14,"LL Road Frame - Black, 58",1,LL Road Frame,14,Road Frames,2,Components
256,FR-R38B-60,14,"LL Road Frame - Black, 60",1,LL Road Frame,14,Road Frames,2,Components
429,FR-R72Y-40,14,"ML Road Frame-W - Yellow, 40",1,ML Road Frame-W,14,Road Frames,2,Components
430,FR-R72Y-40,14,"ML Road Frame-W - Yellow, 40",1,ML Road Frame-W,14,Road Frames,2,Components
431,FR-R72Y-42,14,"ML Road Frame-W - Yellow, 42",1,ML Road Frame-W,14,Road Frames,2,Components
432,FR-R72Y-42,14,"ML Road Frame-W - Yellow, 42",1,ML Road Frame-W,14,Road Frames,2,Components
433,FR-R72Y-44,14,"ML Road Frame-W - Yellow, 44",1,ML Road Frame-W,14,Road Frames,2,Components
434,FR-R72Y-44,14,"ML Road Frame-W - Yellow, 44",1,ML Road Frame-W,14,Road Frames,2,Components
435,FR-R72Y-48,14,"ML Road Frame-W - Yellow, 48",1,ML Road Frame-W,14,Road Frames,2,Components
436,FR-R72Y-48,14,"ML Road Frame-W - Yellow, 48",1,ML Road Frame-W,14,Road Frames,2,Components
437,FR-R92B-62,14,"HL Road Frame - Black, 62",1,HL Road Frame,14,Road Frames,2,Components
438,FR-R92B-62,14,"HL Road Frame - Black, 62",1,HL Road Frame,14,Road Frames,2,Components
439,FR-R92B-44,14,"HL Road Frame - Black, 44",1,HL Road Frame,14,Road Frames,2,Components
440,FR-R92B-44,14,"HL Road Frame - Black, 44",1,HL Road Frame,14,Road Frames,2,Components
441,FR-R92B-48,14,"HL Road Frame - Black, 48",1,HL Road Frame,14,Road Frames,2,Components
442,FR-R92B-48,14,"HL Road Frame - Black, 48",1,HL Road Frame,14,Road Frames,2,Components
443,FR-R92B-52,14,"HL Road Frame - Black, 52",1,HL Road Frame,14,Road Frames,2,Components
444,FR-R92B-52,14,"HL Road Frame - Black, 52",1,HL Road Frame,14,Road Frames,2,Components
257,FR-R38B-60,14,"LL Road Frame - Black, 60",1,LL Road Frame,14,Road Frames,2,Components
258,FR-R38B-60,14,"LL Road Frame - Black, 60",1,LL Road Frame,14,Road Frames,2,Components
259,FR-R38B-62,14,"LL Road Frame - Black, 62",1,LL Road Frame,14,Road Frames,2,Components
260,FR-R38B-62,14,"LL Road Frame - Black, 62",1,LL Road Frame,14,Road Frames,2,Components
261,FR-R38B-62,14,"LL Road Frame - Black, 62",1,LL Road Frame,14,Road Frames,2,Components
262,FR-R38R-44,14,"LL Road Frame - Red, 44",1,LL Road Frame,14,Road Frames,2,Components
263,FR-R38R-44,14,"LL Road Frame - Red, 44",1,LL Road Frame,14,Road Frames,2,Components
264,FR-R38R-48,14,"LL Road Frame - Red, 48",1,LL Road Frame,14,Road Frames,2,Components
265,FR-R38R-48,14,"LL Road Frame - Red, 48",1,LL Road Frame,14,Road Frames,2,Components
266,FR-R38R-52,14,"LL Road Frame - Red, 52",1,LL Road Frame,14,Road Frames,2,Components
267,FR-R38R-52,14,"LL Road Frame - Red, 52",1,LL Road Frame,14,Road Frames,2,Components
268,FR-R38R-58,14,"LL Road Frame - Red, 58",1,LL Road Frame,14,Road Frames,2,Components
269,FR-R38R-58,14,"LL Road Frame - Red, 58",1,LL Road Frame,14,Road Frames,2,Components
270,FR-R38R-60,14,"LL Road Frame - Red, 60",1,LL Road Frame,14,Road Frames,2,Components
271,FR-R38R-60,14,"LL Road Frame - Red, 60",1,LL Road Frame,14,Road Frames,2,Components
272,FR-R38R-62,14,"LL Road Frame - Red, 62",1,LL Road Frame,14,Road Frames,2,Components
273,FR-R38R-62,14,"LL Road Frame - Red, 62",1,LL Road Frame,14,Road Frames,2,Components
274,FR-R72R-44,14,"ML Road Frame - Red, 44",1,ML Road Frame,14,Road Frames,2,Components
275,FR-R72R-48,14,"ML Road Frame - Red, 48",1,ML Road Frame,14,Road Frames,2,Components
276,FR-R72R-52,14,"ML Road Frame - Red, 52",1,ML Road Frame,14,Road Frames,2,Components
277,FR-R72R-58,14,"ML Road Frame - Red, 58",1,ML Road Frame,14,Road Frames,2,Components
278,FR-R72R-60,14,"ML Road Frame - Red, 60",1,ML Road Frame,14,Road Frames,2,Components
279,FR-R38B-44,14,"LL Road Frame - Black, 44",1,LL Road Frame,14,Road Frames,2,Components
280,FR-R38B-44,14,"LL Road Frame - Black, 44",1,LL Road Frame,14,Road Frames,2,Components
281,FR-R38B-44,14,"LL Road Frame - Black, 44",1,LL Road Frame,14,Road Frames,2,Components
282,FR-R38B-48,14,"LL Road Frame - Black, 48",1,LL Road Frame,14,Road Frames,2,Components
283,FR-R38B-48,14,"LL Road Frame - Black, 48",1,LL Road Frame,14,Road Frames,2,Components
284,FR-R38B-48,14,"LL Road Frame - Black, 48",1,LL Road Frame,14,Road Frames,2,Components
285,FR-R38B-52,14,"LL Road Frame - Black, 52",1,LL Road Frame,14,Road Frames,2,Components
286,FR-R38B-52,14,"LL Road Frame - Black, 52",1,LL Road Frame,14,Road Frames,2,Components
287,FR-R38B-52,14,"LL Road Frame - Black, 52",1,LL Road Frame,14,Road Frames,2,Components
210,FR-R92B-58,14,"HL Road Frame - Black, 58",1,HL Road Frame,14,Road Frames,2,Components
211,FR-R92R-58,14,"HL Road Frame - Red, 58",1,HL Road Frame,14,Road Frames,2,Components
238,FR-R92R-62,14,"HL Road Frame - Red, 62",1,HL Road Frame,14,Road Frames,2,Components
239,FR-R92R-62,14,"HL Road Frame - Red, 62",1,HL Road Frame,14,Road Frames,2,Components
240,FR-R92R-62,14,"HL Road Frame - Red, 62",1,HL Road Frame,14,Road Frames,2,Components
241,FR-R92R-44,14,"HL Road Frame - Red, 44",1,HL Road Frame,14,Road Frames,2,Components
242,FR-R92R-44,14,"HL Road Frame - Red, 44",1,HL Road Frame,14,Road Frames,2,Components
243,FR-R92R-44,14,"HL Road Frame - Red, 44",1,HL Road Frame,14,Road Frames,2,Components
244,FR-R92R-48,14,"HL Road Frame - Red, 48",1,HL Road Frame,14,Road Frames,2,Components
245,FR-R92R-48,14,"HL Road Frame - Red, 48",1,HL Road Frame,14,Road Frames,2,Components
246,FR-R92R-48,14,"HL Road Frame - Red, 48",1,HL Road Frame,14,Road Frames,2,Components
247,FR-R92R-52,14,"HL Road Frame - Red, 52",1,HL Road Frame,14,Road Frames,2,Components
248,FR-R92R-52,14,"HL Road Frame - Red, 52",1,HL Road Frame,14,Road Frames,2,Components
249,FR-R92R-52,14,"HL Road Frame - Red, 52",1,HL Road Frame,14,Road Frames,2,Components
515,SE-M236,15,LL Mountain Seat/Saddle,1,LL Mountain Seat/Saddle 2,15,Saddles,2,Components
522,SE-T762,15,ML Touring Seat/Saddle,1,ML Touring Seat/Saddle,15,Saddles,2,Components
521,SE-T312,15,LL Touring Seat/Saddle,1,LL Touring Seat/Saddle,15,Saddles,2,Components
520,SE-R995,15,HL Road Seat/Saddle,1,HL Road Seat/Saddle 2,15,Saddles,2,Components
519,SE-R908,15,ML Road Seat/Saddle,1,ML Road Seat/Saddle 2,15,Saddles,2,Components
518,SE-R581,15,LL Road Seat/Saddle,1,LL Road Seat/Saddle 1,15,Saddles,2,Components
517,SE-M940,15,HL Mountain Seat/Saddle,1,HL Mountain Seat/Saddle 2,15,Saddles,2,Components
516,SE-M798,15,ML Mountain Seat/Saddle,1,ML Mountain Seat/Saddle 2,15,Saddles,2,Components
523,SE-T924,15,HL Touring Seat/Saddle,1,HL Touring Seat/Saddle,15,Saddles,2,Components
500,FR-T98U-60,16,"HL Touring Frame - Blue, 60",1,HL Touring Frame,16,Touring Frames,2,Components
502,FR-T67U-50,16,"LL Touring Frame - Blue, 50",1,LL Touring Frame,16,Touring Frames,2,Components
503,FR-T67U-54,16,"LL Touring Frame - Blue, 54",1,LL Touring Frame,16,Touring Frames,2,Components
504,FR-T67U-58,16,"LL Touring Frame - Blue, 58",1,LL Touring Frame,16,Touring Frames,2,Components
505,FR-T67U-62,16,"LL Touring Frame - Blue, 62",1,LL Touring Frame,16,Touring Frames,2,Components
506,FR-T67Y-44,16,"LL Touring Frame - Yellow, 44",1,LL Touring Frame,16,Touring Frames,2,Components
507,FR-T67Y-50,16,"LL Touring Frame - Yellow, 50",1,LL Touring Frame,16,Touring Frames,2,Components
508,FR-T67Y-54,16,"LL Touring Frame - Yellow, 54",1,LL Touring Frame,16,Touring Frames,2,Components
509,FR-T67Y-58,16,"LL Touring Frame - Yellow, 58",1,LL Touring Frame,16,Touring Frames,2,Components
510,FR-T67U-44,16,"LL Touring Frame - Blue, 44",1,LL Touring Frame,16,Touring Frames,2,Components
492,FR-T98Y-60,16,"HL Touring Frame - Yellow, 60",1,HL Touring Frame,16,Touring Frames,2,Components
493,FR-T67Y-62,16,"LL Touring Frame - Yellow, 62",1,LL Touring Frame,16,Touring Frames,2,Components
494,FR-T98Y-46,16,"HL Touring Frame - Yellow, 46",1,HL Touring Frame,16,Touring Frames,2,Components
495,FR-T98Y-50,16,"HL Touring Frame - Yellow, 50",1,HL Touring Frame,16,Touring Frames,2,Components
496,FR-T98Y-54,16,"HL Touring Frame - Yellow, 54",1,HL Touring Frame,16,Touring Frames,2,Components
497,FR-T98U-46,16,"HL Touring Frame - Blue, 46",1,HL Touring Frame,16,Touring Frames,2,Components
498,FR-T98U-50,16,"HL Touring Frame - Blue, 50",1,HL Touring Frame,16,Touring Frames,2,Components
499,FR-T98U-54,16,"HL Touring Frame - Blue, 54",1,HL Touring Frame,16,Touring Frames,2,Components
419,RW-M423,17,LL Mountain Rear Wheel,1,LL Mountain Rear Wheel,17,Wheels,2,Components
416,FW-T905,17,Touring Front Wheel,1,Touring Front Wheel,17,Wheels,2,Components
422,RW-R623,17,LL Road Rear Wheel,1,LL Road Rear Wheel,17,Wheels,2,Components
421,RW-M928,17,HL Mountain Rear Wheel,1,HL Mountain Rear Wheel,17,Wheels,2,Components
420,RW-M762,17,ML Mountain Rear Wheel,1,ML Mountain Rear Wheel,17,Wheels,2,Components
424,RW-R820,17,HL Road Rear Wheel,1,HL Road Rear Wheel,17,Wheels,2,Components
425,RW-T905,17,Touring Rear Wheel,1,Touring Rear Wheel,17,Wheels,2,Components
415,FW-R820,17,HL Road Front Wheel,1,HL Road Front Wheel,17,Wheels,2,Components
414,FW-R762,17,ML Road Front Wheel,1,ML Road Front Wheel,17,Wheels,2,Components
413,FW-R623,17,LL Road Front Wheel,1,LL Road Front Wheel,17,Wheels,2,Components
412,FW-M928,17,HL Mountain Front Wheel,1,HL Mountain Front Wheel,17,Wheels,2,Components
411,FW-M762,17,ML Mountain Front Wheel,1,ML Mountain Front Wheel,17,Wheels,2,Components
410,FW-M423,17,LL Mountain Front Wheel,1,LL Mountain Front Wheel,17,Wheels,2,Components
423,RW-R762,17,ML Road Rear Wheel,1,ML Road Rear Wheel,17,Wheels,2,Components
459,SB-M891-S,18,"Men's Bib-Shorts, S",0,Men's Bib-Shorts,18,Bib-Shorts,3,Clothing
461,SB-M891-L,18,"Men's Bib-Shorts, L",0,Men's Bib-Shorts,18,Bib-Shorts,3,Clothing
460,SB-M891-M,18,"Men's Bib-Shorts, M",0,Men's Bib-Shorts,18,Bib-Shorts,3,Clothing
224,CA-1098,19,AWC Logo Cap,0,Cycling Cap,19,Caps,3,Clothing
225,CA-1098,19,AWC Logo Cap,0,Cycling Cap,19,Caps,3,Clothing
223,CA-1098,19,AWC Logo Cap,0,Cycling Cap,19,Caps,3,Clothing
465,GL-H102-M,20,"Half-Finger Gloves, M",0,Half-Finger Gloves,20,Gloves,3,Clothing
464,GL-H102-M,20,"Half-Finger Gloves, M",0,Half-Finger Gloves,20,Gloves,3,Clothing
463,GL-H102-S,20,"Half-Finger Gloves, S",0,Half-Finger Gloves,20,Gloves,3,Clothing
462,GL-H102-S,20,"Half-Finger Gloves, S",0,Half-Finger Gloves,20,Gloves,3,Clothing
467,GL-H102-L,20,"Half-Finger Gloves, L",0,Half-Finger Gloves,20,Gloves,3,Clothing
468,GL-F110-S,20,"Full-Finger Gloves, S",0,Full-Finger Gloves,20,Gloves,3,Clothing
469,GL-F110-M,20,"Full-Finger Gloves, M",0,Full-Finger Gloves,20,Gloves,3,Clothing
470,GL-F110-L,20,"Full-Finger Gloves, L",0,Full-Finger Gloves,20,Gloves,3,Clothing
466,GL-H102-L,20,"Half-Finger Gloves, L",0,Half-Finger Gloves,20,Gloves,3,Clothing
226,LJ-0192-S,21,"Long-Sleeve Logo Jersey, S",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
237,LJ-0192-X,21,"Long-Sleeve Logo Jersey, XL",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
236,LJ-0192-X,21,"Long-Sleeve Logo Jersey, XL",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
229,LJ-0192-M,21,"Long-Sleeve Logo Jersey, M",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
228,LJ-0192-S,21,"Long-Sleeve Logo Jersey, S",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
235,LJ-0192-X,21,"Long-Sleeve Logo Jersey, XL",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
234,LJ-0192-L,21,"Long-Sleeve Logo Jersey, L",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
233,LJ-0192-L,21,"Long-Sleeve Logo Jersey, L",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
232,LJ-0192-L,21,"Long-Sleeve Logo Jersey, L",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
231,LJ-0192-M,21,"Long-Sleeve Logo Jersey, M",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
491,SJ-0194-X,21,"Short-Sleeve Classic Jersey, XL",0,Short-Sleeve Classic Jersey,21,Jerseys,3,Clothing
490,SJ-0194-L,21,"Short-Sleeve Classic Jersey, L",0,Short-Sleeve Classic Jersey,21,Jerseys,3,Clothing
489,SJ-0194-M,21,"Short-Sleeve Classic Jersey, M",0,Short-Sleeve Classic Jersey,21,Jerseys,3,Clothing
488,SJ-0194-S,21,"Short-Sleeve Classic Jersey, S",0,Short-Sleeve Classic Jersey,21,Jerseys,3,Clothing
227,LJ-0192-S,21,"Long-Sleeve Logo Jersey, S",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
230,LJ-0192-M,21,"Long-Sleeve Logo Jersey, M",0,Long-Sleeve Logo Jersey,21,Jerseys,3,Clothing
454,SH-M897-L,22,"Men's Sports Shorts, L",0,Men's Sports Shorts,22,Shorts,3,Clothing
445,SH-M897-S,22,"Men's Sports Shorts, S",0,Men's Sports Shorts,22,Shorts,3,Clothing
474,SH-W890-S,22,"Women's Mountain Shorts, S",0,Women's Mountain Shorts,22,Shorts,3,Clothing
476,SH-W890-L,22,"Women's Mountain Shorts, L",0,Women's Mountain Shorts,22,Shorts,3,Clothing
475,SH-W890-M,22,"Women's Mountain Shorts, M",0,Women's Mountain Shorts,22,Shorts,3,Clothing
455,SH-M897-X,22,"Men's Sports Shorts, XL",0,Men's Sports Shorts,22,Shorts,3,Clothing
453,SH-M897-M,22,"Men's Sports Shorts, M",0,Men's Sports Shorts,22,Shorts,3,Clothing
482,SO-R809-L,23,"Racing Socks, L",0,Racing Socks,23,Socks,3,Clothing
218,SO-B909-M,23,"Mountain Bike Socks, M",0,Mountain Bike Socks,23,Socks,3,Clothing
219,SO-B909-L,23,"Mountain Bike Socks, L",0,Mountain Bike Socks,23,Socks,3,Clothing
481,SO-R809-M,23,"Racing Socks, M",0,Racing Socks,23,Socks,3,Clothing
457,TG-W091-M,24,"Women's Tights, M",0,Women's Tights,24,Tights,3,Clothing
456,TG-W091-S,24,"Women's Tights, S",0,Women's Tights,24,Tights,3,Clothing
458,TG-W091-L,24,"Women's Tights, L",0,Women's Tights,24,Tights,3,Clothing
473,VE-C304-L,25,"Classic Vest, L",0,Classic Vest,25,Vests,3,Clothing
471,VE-C304-S,25,"Classic Vest, S",0,Classic Vest,25,Vests,3,Clothing
472,VE-C304-M,25,"Classic Vest, M",0,Classic Vest,25,Vests,3,Clothing
483,RA-H123,26,Hitch Rack - 4-Bike,0,Hitch Rack - 4-Bike,26,Bike Racks,4,Accessories
486,ST-1401,27,All-Purpose Bike Stand,0,All-Purpose Bike Stand,27,Bike Stands,4,Accessories
479,BC-R205,28,Road Bottle Cage,0,Road Bottle Cage,28,Bottles and Cages,4,Accessories
477,WB-H098,28,Water Bottle - 30 oz.,0,Water Bottle,28,Bottles and Cages,4,Accessories
478,BC-M005,28,Mountain Bottle Cage,0,Mountain Bottle Cage,28,Bottles and Cages,4,Accessories
484,CL-9009,29,Bike Wash - Dissolver,0,Bike Wash,29,Cleaners,4,Accessories
485,FE-6654,30,Fender Set - Mountain,0,Fender Set - Mountain,30,Fenders,4,Accessories
216,HL-U509,31,"Sport-100 Helmet, Black",0,Sport-100,31,Helmets,4,Accessories
220,HL-U509-B,31,"Sport-100 Helmet, Blue",0,Sport-100,31,Helmets,4,Accessories
217,HL-U509,31,"Sport-100 Helmet, Black",0,Sport-100,31,Helmets,4,Accessories
221,HL-U509-B,31,"Sport-100 Helmet, Blue",0,Sport-100,31,Helmets,4,Accessories
215,HL-U509,31,"Sport-100 Helmet, Black",0,Sport-100,31,Helmets,4,Accessories
214,HL-U509-R,31,"Sport-100 Helmet, Red",0,Sport-100,31,Helmets,4,Accessories
213,HL-U509-R,31,"Sport-100 Helmet, Red",0,Sport-100,31,Helmets,4,Accessories
212,HL-U509-R,31,"Sport-100 Helmet, Red",0,Sport-100,31,Helmets,4,Accessories
222,HL-U509-B,31,"Sport-100 Helmet, Blue",0,Sport-100,31,Helmets,4,Accessories
487,HY-1023-70,32,Hydration Pack - 70 oz.,0,Hydration Pack,32,Hydration Packs,4,Accessories
450,LT-T990,33,Taillights - Battery-Powered,0,Taillight,33,Lights,4,Accessories
451,LT-H902,33,Headlights - Dual-Beam,0,Headlights - Dual-Beam,33,Lights,4,Accessories
452,LT-H903,33,Headlights - Weatherproof,0,Headlights - Weatherproof,33,Lights,4,Accessories
447,LO-C100,34,Cable Lock,0,Cable Lock,34,Locks,4,Accessories
446,PA-T100,35,"Touring-Panniers, Large",0,Touring-Panniers,35,Panniers,4,Accessories
449,PU-M044,36,Mountain Pump,0,Mountain Pump,36,Pumps,4,Accessories
448,PU-0452,36,Minipump,0,Minipump,36,Pumps,4,Accessories
480,PK-7098,37,Patch Kit/8 Patches,0,Patch kit,37,Tires and Tubes,4,Accessories
528,TT-M928,37,Mountain Tire Tube,0,Mountain Tire Tube,37,Tires and Tubes,4,Accessories
529,TT-R982,37,Road Tire Tube,0,Road Tire Tube,37,Tires and Tubes,4,Accessories
537,TI-M823,37,HL Mountain Tire,0,HL Mountain Tire,37,Tires and Tubes,4,Accessories
538,TI-R092,37,LL Road Tire,0,LL Road Tire,37,Tires and Tubes,4,Accessories
536,TI-M602,37,ML Mountain Tire,0,ML Mountain Tire,37,Tires and Tubes,4,Accessories
535,TI-M267,37,LL Mountain Tire,0,LL Mountain Tire,37,Tires and Tubes,4,Accessories
530,TT-T092,37,Touring Tire Tube,0,Touring Tire Tube,37,Tires and Tubes,4,Accessories
541,TI-T723,37,Touring Tire,0,Touring Tire,37,Tires and Tubes,4,Accessories
540,TI-R982,37,HL Road Tire,0,HL Road Tire,37,Tires and Tubes,4,Accessories
539,TI-R628,37,ML Road Tire,0,ML Road Tire,37,Tires and Tubes,4,Accessories
